Call_Type_Name,Low_Level_Segment6,Business_Requirement1,Business_Requirement2,Business_Requirement3,Business_Requirement4,Business_Requirement5,Low_Level_Segment1,Low_Level_Segment2,Low_Level_Segment3,Low_Level_Segment4,Low_Level_Segment5,Mid_Level_Key_Segment1,Mid_Level_Segment2,Mid_Level_Segment3,Mid_Level_Segment4,Mid_Level_Segment5,Mid_Level_Segment6,Legacy_Segment1,Legacy_Segment2
Category 1,"{'item1': 'Red', 'item2': 'Red', 'item3': 'Red', 'item4': 'Red', 'item5': 'Red', 'item6': 'uncategorized'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Amber'}","{'item1': False, 'item2': False, 'item3': 'Red'}",{'item1': False},"{'item1': False, 'item2': False, 'item3': False, 'item4': 'Red'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Red'}","{'item1': False, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': True, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': False, 'item15': False, 'item16': False, 'item17': False, 'item18': False, 'item19': False, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': False, 'item25': False, 'item26': False, 'item27': False, 'item28': False}","{'item1': 'Amber', 'item2': 'Red', 'item3': 'Red', 'item4': 'Red', 'item5': False, 'item6': True, 'item7': True, 'item8': True, 'item9': False}"
Category 4,"{'item1': 'Red', 'item2': 'Red', 'item3': 'Red', 'item4': 'Red', 'item5': 'Red', 'item6': 'uncategorized'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Green'}","{'item1': False, 'item2': False, 'item3': 'Red'}",{'item1': False},"{'item1': False, 'item2': False, 'item3': False, 'item4': 'Red'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Red'}","{'item1': True, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': True, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': True, 'item4': 'Good Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': False, 'item15': False, 'item16': False, 'item17': False, 'item18': False, 'item19': False, 'item20': False, 'item21': False, 'item22': False, 'item23': False, 'item24': False, 'item25': False, 'item26': False, 'item27': False, 'item28': False}","{'item1': 'Green', 'item2': 'Red', 'item3': 'Red', 'item4': 'Red', 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False}"
Category 7,"{'item1': 'Red', 'item2': 'Red', 'item3': 'Red', 'item4': 'Green', 'item5': 'Red', 'item6': 'initial_call'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Amber'}","{'item1': True, 'item2': True, 'item3': 'Green'}",{'item1': True},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False}","{'item1': True, 'item2': True, 'item3': False, 'item4': True, 'item5': True, 'item6': True, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': 'Good Outcome with Development'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': True, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': False, 'item14': True, 'item15': False, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': False, 'item28': True}","{'item1': 'Amber', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 7,"{'item1': 'Red', 'item2': 'Green', 'item3': 'Red', 'item4': 'Green', 'item5': 'Red', 'item6': 'initial_call'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Green'}","{'item1': True, 'item2': True, 'item3': 'Green'}",{'item1': True},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': False, 'item6': True, 'item7': 'Good Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': 'Good Outcome'}","{'item1': False, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False}","{'item1': True, 'item2': True, 'item3': False, 'item4': True, 'item5': True, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': 'Good Outcome'}","{'item1': False, 'item2': True, 'item3': False, 'item4': True, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': False, 'item14': True, 'item15': True, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': True, 'item28': True}","{'item1': 'Green', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 7,"{'item1': 'Red', 'item2': 'Red', 'item3': 'Green', 'item4': 'Green', 'item5': 'Red', 'item6': 'initial_call'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Green'}","{'item1': True, 'item2': True, 'item3': 'Green'}",{'item1': True},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': False, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': 'Good Outcome with Development'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False}","{'item1': False, 'item2': False, 'item3': False, 'item4': True, 'item5': True, 'item6': True, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': 'Good Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': True, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': True, 'item14': True, 'item15': True, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': False, 'item28': False}","{'item1': 'Green', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 7,"{'item1': 'Red', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': 'Red', 'item6': 'initial_call'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Red'}","{'item1': False, 'item2': False, 'item3': 'Red'}",{'item1': False},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': True, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': 'Good Outcome'}","{'item1': False, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False}","{'item1': True, 'item2': True, 'item3': False, 'item4': True, 'item5': True, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': 'Good Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': True, 'item4': False, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': True, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': False, 'item15': False, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': True, 'item28': True}","{'item1': 'Red', 'item2': 'Green', 'item3': 'Red', 'item4': 'Green', 'item5': False, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 7,"{'item1': 'Green', 'item2': 'Red', 'item3': 'Red', 'item4': 'Green', 'item5': 'Red', 'item6': 'initial_call'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Red'}","{'item1': False, 'item2': False, 'item3': 'Red'}",{'item1': True},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': 'Good Outcome'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': 'Good Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': True, 'item14': True, 'item15': True, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': False, 'item28': True}","{'item1': 'Red', 'item2': 'Green', 'item3': 'Red', 'item4': 'Green', 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 7,"{'item1': 'Red', 'item2': 'Red', 'item3': 'Red', 'item4': 'Green', 'item5': 'Red', 'item6': 'initial_call'}","{'item1': False, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Amber'}","{'item1': True, 'item2': True, 'item3': 'Green'}",{'item1': True},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': 'Good Outcome with Development'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': True, 'item4': True, 'item5': True, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': True, 'item14': True, 'item15': True, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': False, 'item28': False}","{'item1': 'Amber', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 7,"{'item1': 'Red', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': 'Green', 'item6': 'initial_call'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Green'}","{'item1': True, 'item2': True, 'item3': 'Green'}",{'item1': True},"{'item1': True, 'item2': True, 'item3': True, 'item4': 'Green'}","{'item1': True, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Green'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': False, 'item6': True, 'item7': 'Good Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': True, 'item6': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': True, 'item4': True, 'item5': False, 'item6': False, 'item7': False}","{'item1': True, 'item2': True, 'item3': False, 'item4': True, 'item5': True, 'item6': True, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': 'Good Outcome with Development'}","{'item1': True, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': False, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': True, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': True, 'item14': True, 'item15': True, 'item16': True, 'item17': True, 'item18': True, 'item19': True, 'item20': False, 'item21': False, 'item22': False, 'item23': True, 'item24': True, 'item25': True, 'item26': True, 'item27': True, 'item28': True}","{'item1': 'Green', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
Category 6,"{'item1': 'Green', 'item2': 'Green', 'item3': 'Green', 'item4': 'Green', 'item5': 'Green', 'item6': 'initial_call'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Amber'}","{'item1': False, 'item2': False, 'item3': 'Red'}",{'item1': False},"{'item1': True, 'item2': True, 'item3': False, 'item4': 'Amber'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': 'Red'}","{'item1': False, 'item2': True, 'item3': False, 'item4': True, 'item5': True, 'item6': True, 'item7': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': True, 'item4': False, 'item5': False, 'item6': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': True, 'item5': True, 'item6': False, 'item7': False}","{'item1': False, 'item2': False, 'item3': False, 'item4': True, 'item5': True, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': True, 'item2': True, 'item3': 'Good Outcome'}","{'item1': False, 'item2': True, 'item3': True, 'item4': True, 'item5': False, 'item6': False, 'item7': 'Good Outcome with Development'}","{'item1': False, 'item2': True, 'item3': True, 'item4': True, 'item5': True, 'item6': True, 'item7': True, 'item8': True, 'item9': False, 'item10': False, 'item11': True, 'item12': True, 'item13': False, 'item14': 'Poor Outcome'}","{'item1': False, 'item2': False, 'item3': False, 'item4': False, 'item5': False, 'item6': False, 'item7': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': False, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': 'Poor Outcome'}","{'item1': True, 'item2': False, 'item3': False, 'item4': 'Poor Outcome'}","{'item1': True, 'item2': True, 'item3': True, 'item4': False, 'item5': True, 'item6': True, 'item7': False, 'item8': False, 'item9': False, 'item10': False, 'item11': False, 'item12': False, 'item13': False, 'item14': False, 'item15': True, 'item16': False, 'item17': False, 'item18': False, 'item19': False, 'item20': False, 'item21': False, 'item22': False, 'item23': False, 'item24': True, 'item25': True, 'item26': False, 'item27': True, 'item28': True}","{'item1': 'Amber', 'item2': 'Red', 'item3': 'Red', 'item4': 'Amber', 'item5': False, 'item6': True, 'item7': True, 'item8': True, 'item9': True}"
