Call_Type_Name,Low_Level_Segment6_item1,Low_Level_Segment6_item2,Low_Level_Segment6_item3,Low_Level_Segment6_item4,Low_Level_Segment6_item5,Low_Level_Segment6_item6,Business_Requirement1_item1,Business_Requirement1_item2,Business_Requirement1_item3,Business_Requirement1_item4,Business_Requirement1_item5,Business_Requirement1_item6,Business_Requirement1_item7,Business_Requirement1_item8,Business_Requirement1_item9,Business_Requirement1_item10,Business_Requirement1_item11,Business_Requirement2_item1,Business_Requirement2_item2,Business_Requirement2_item3,Business_Requirement3_item1,Business_Requirement4_item1,Business_Requirement4_item2,Business_Requirement4_item3,Business_Requirement4_item4,Business_Requirement5_item1,Business_Requirement5_item2,Business_Requirement5_item3,Business_Requirement5_item4,Business_Requirement5_item5,Business_Requirement5_item6,Low_Level_Segment1_item1,Low_Level_Segment1_item2,Low_Level_Segment1_item3,Low_Level_Segment1_item4,Low_Level_Segment1_item5,Low_Level_Segment1_item6,Low_Level_Segment1_item7,Low_Level_Segment2_item1,Low_Level_Segment2_item2,Low_Level_Segment2_item3,Low_Level_Segment2_item4,Low_Level_Segment2_item5,Low_Level_Segment3_item1,Low_Level_Segment3_item2,Low_Level_Segment3_item3,Low_Level_Segment3_item4,Low_Level_Segment3_item5,Low_Level_Segment3_item6,Low_Level_Segment4_item1,Low_Level_Segment4_item2,Low_Level_Segment4_item3,Low_Level_Segment4_item4,Low_Level_Segment4_item5,Low_Level_Segment4_item6,Low_Level_Segment4_item7,Low_Level_Segment5_item1,Low_Level_Segment5_item2,Low_Level_Segment5_item3,Low_Level_Segment5_item4,Low_Level_Segment5_item5,Low_Level_Segment5_item6,Low_Level_Segment5_item7,Mid_Level_Key_Segment1_item1,Mid_Level_Key_Segment1_item2,Mid_Level_Key_Segment1_item3,Mid_Level_Segment2_item1,Mid_Level_Segment2_item2,Mid_Level_Segment2_item3,Mid_Level_Segment2_item4,Mid_Level_Segment2_item5,Mid_Level_Segment2_item6,Mid_Level_Segment2_item7,Mid_Level_Segment3_item1,Mid_Level_Segment3_item2,Mid_Level_Segment3_item3,Mid_Level_Segment3_item4,Mid_Level_Segment3_item5,Mid_Level_Segment3_item6,Mid_Level_Segment3_item7,Mid_Level_Segment3_item8,Mid_Level_Segment3_item9,Mid_Level_Segment3_item10,Mid_Level_Segment3_item11,Mid_Level_Segment3_item12,Mid_Level_Segment3_item13,Mid_Level_Segment3_item14,Mid_Level_Segment4_item1,Mid_Level_Segment4_item2,Mid_Level_Segment4_item3,Mid_Level_Segment4_item4,Mid_Level_Segment4_item5,Mid_Level_Segment4_item6,Mid_Level_Segment4_item7,Mid_Level_Segment5_item1,Mid_Level_Segment5_item2,Mid_Level_Segment5_item3,Mid_Level_Segment5_item4,Mid_Level_Segment5_item5,Mid_Level_Segment5_item6,Mid_Level_Segment5_item7,Mid_Level_Segment5_item8,Mid_Level_Segment5_item9,Mid_Level_Segment5_item10,Mid_Level_Segment5_item11,Mid_Level_Segment6_item1,Mid_Level_Segment6_item2,Mid_Level_Segment6_item3,Mid_Level_Segment6_item4,Legacy_Segment1_item1,Legacy_Segment1_item2,Legacy_Segment1_item3,Legacy_Segment1_item4,Legacy_Segment1_item5,Legacy_Segment1_item6,Legacy_Segment1_item7,Legacy_Segment1_item8,Legacy_Segment1_item9,Legacy_Segment1_item10,Legacy_Segment1_item11,Legacy_Segment1_item12,Legacy_Segment1_item13,Legacy_Segment1_item14,Legacy_Segment1_item15,Legacy_Segment1_item16,Legacy_Segment1_item17,Legacy_Segment1_item18,Legacy_Segment1_item19,Legacy_Segment1_item20,Legacy_Segment1_item21,Legacy_Segment1_item22,Legacy_Segment1_item23,Legacy_Segment1_item24,Legacy_Segment1_item25,Legacy_Segment1_item26,Legacy_Segment1_item27,Legacy_Segment1_item28,Legacy_Segment2_item1,Legacy_Segment2_item2,Legacy_Segment2_item3,Legacy_Segment2_item4,Legacy_Segment2_item5,Legacy_Segment2_item6,Legacy_Segment2_item7,Legacy_Segment2_item8,Legacy_Segment2_item9
Other,0,0,0,0,0,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
Other,0,0,0,0,0,3,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Category 7,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,2,1,1,1,1,2,1,1,0,0,0,2,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,2,2,2,1,1,1,1,1
Category 7,0,2,0,2,0,0,1,1,1,1,1,1,0,0,0,0,2,1,1,2,1,1,1,1,2,1,1,0,0,0,2,1,1,1,0,0,1,2,1,1,1,0,1,1,1,1,1,1,2,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1
Category 7,0,0,2,2,0,0,1,1,1,1,1,1,0,0,0,0,2,1,1,2,1,1,1,1,2,1,1,0,0,0,2,1,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,2,2,2,2,1,1,1,1,1
Category 7,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,2,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,2,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,0,2,0,2,0,1,1,1,1
Category 7,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,0,0,2,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,2,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,2,0,2,1,1,1,1,1
Category 7,0,0,0,2,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,2,1,1,1,1,2,1,1,0,0,0,2,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,2,2,2,1,1,1,1,1
Category 7,0,2,2,2,2,0,1,1,1,1,1,1,0,0,0,0,2,1,1,2,1,1,1,1,2,1,1,0,0,0,2,1,1,1,1,0,1,2,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1
Category 6,2,2,2,2,2,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,1,2,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
